snomedid|term
P1-10EBC|Primary closed reduction and internal fixation of fracture
P1-10EBD|Revision closed reduction and internal fixation of fracture
P0-A0234|Functional skills training
P1-1083F|Miller operation
P0-053BC|Esophagesophageal anastomosis, antesternal or antethoracic
P0-053BC|Oesophagoesophageal anastomosis, antesternal or antethoracic
P0-053BC|Esophagoesophageal anastomosis, antesternal or antethoracic
P0-053BC|Esophagoesophageal anastomosis, antesternal or antethoracic
P1-107FC|Musculoskeletal system repair
P1-107FC|Musculoskeletal surgical repair
P3-30004|Haemoglobin S genotype determination
P3-30004|Hemoglobin S genotype determination
P3-30004|Haemoglobin S genotype
P3-30004|Hemoglobin S genotype
P3-30005|Homozygous SS genotype determination
P3-30005|Homozygous SS genotype
P1-01017|Drainage of abscess of vertebra
P1-3881A|High ligation and stripping of long saphenous vein
P2-45216|Intramuscular injection of Vaccinia immune globulin, human
P3-00165|Putchler modified Bennhold stain method
P3-00165|Congo red Putchler's modification stain method
P3-00165|Putchler's modification Congo red stain method
P3-00165|Putchler modified Bennhold stain
P1-5A501|Salivary gland implantation
P1-91003|FESS - Functional endoscopic sinus surgery - sphenoethmoidectomy
P1-5C101|Biliary tract incision
P1-65801|Lymphatic system reconstruction
P1-65808|Lymphatic system repair
P1-66101|Adenoid incision
P1-77504|Penis implantation
P1-77803|Penis closure
P1-78501|Prostate implantation
P1-83C01|Uterus destructive procedure
P1-83C01|Destructive procedure on uterus
P0-053B8|Complex reconstruction of soft tissue of hand
P1-41D07|Skin of head transposition
P1-A6025|Excision of choroid neoplasm
P3-61A2A|HTLV 1 AND 2 antibody band pattern determination
P3-61A2A|Human T-cell lymphotropic virus (HTLV) 1 AND 2 antibody band pattern determination
P3-62420|Bovine rotavirus antigen assay
P3-62412|Bluetongue virus antigen assay
P3-61A4D|Cache valley virus antibody assay
P3-6193F|Trichomonas vaginalis antibody assay
P3-622B1|Pseudorabies virus, Tolvid gene deletion antibody assay
P3-6745D|Thyroperoxidase antibody assay
P1-1941C|Excision of head of metatarsal
P1-58E16|Forced manual dilatation of anus
P1-58E16|Lord's procedure
P1-58E16|Anal dilatation
P1-58E16|Anal stretch
P1-1080A|Reduction of fracture with uncomplicated soft tissue closure
P1-1080B|Bone positioning procedure
P1-1080B|Bone positioning
P1-1080D|Reduction of open fracture with uncomplicated soft tissue closure
P1-1080E|Reduction of closed fracture without manipulation
P5-0002D|Whole body X-ray of stillborn infant
P5-27003|Gallbladder X-ray
P0-055EA|Uterine sounding
P0-055EA|Uterine cavity length measurement
P8-00121|Diagnostic wax-up of teeth
P2-01457|Examination of hallux
P2-01457|Examination of great toe
P2-01457|Examination of big toe
P2-40006|Examination of thumbnail
P1-73504|Nephroscopic ureteric stent procedure
P1-73504|Percutaneous ureteric stent procedure
P1-4882F|Adjustment of implant
P1-40408|Excision of sweat gland bearing skin
P2-118E9|Recommendation to return to work
P2-118E9|Advice to return to work
P2-118EA|Recommendation not to work
P2-118EA|Advice not to work
P2-118EA|Advice to refrain from work
P0-058AA|Anastomosis of pharynx to oesophagus
P0-058AA|Anastomosis of pharynx to esophagus
P0-058AB|Anastomosis of pharynx to stomach
P1-16958|Repair of nonunion of humerus with iliac autograft
P1-0318F|Kveim test skin biopsy
P1-57462|Laparoscopic interval appendicectomy
P1-57462|Laparoscopic interval appendectomy
P1-57401|Total colectomy and ileostomy
P1-57406|Total colectomy, ileostomy and rectal mucous fistula
P1-8332A|Hysteroscopy and endometrial biopsy
P1-8332A|Diagnostic hysteroscopy and endometrial biopsy
P2-01584|General appraisal of patient weight
P2-01584|General appraisal of weight
P0-00A05|Standard precautions
P0-00A06|Standard respiratory precautions
P3-000EB|Immunosorbent method
P3-61A81|Equine arteritis virus antibody assay
P3-5002B|Calymmatobacterium granulomatis culture
P3-49B4D|Streptococcus agalactiae rRNA assay
P3-49B4E|Streptococcus pneumoniae rRNA assay
P3-49B4F|Streptococcus pyogenes rRNA assay
P3-62473|Haemophilus influenzae D antigen assay
P3-62473|Hemophilus influenzae D antigen assay
P3-62474|Haemophilus influenzae E antigen assay
P3-62474|Hemophilus influenzae E antigen assay
P3-62475|Haemophilus influenzae F antigen assay
P3-62475|Hemophilus influenzae F antigen assay
P3-49B3C|Mycobacterium species DNA assay
P3-49B44|Mycobacterium tuberculosis DNA assay
P3-50097|Toxoplasma species culture
P3-50194|Mycoplasma hominis culture
P3-49B47|Mycoplasma pneumoniae rRNA assay
P3-49B48|Mycoplasma synoviae DNA assay
P3-49B49|Neisseria gonorrheae rRNA assay
P3-49B49|Neisseria gonorrhoeae rRNA assay
P1-01002|Exploration procedure
P1-01002|Exploration
P1-01003|Dissection procedure
P1-01003|Dissection
P3-62096|Nuclear antibody, homogeneous pattern assay
P3-67115|Purkinje cells antibody assay
P3-50201|Anaerobic blood culture
P3-49B9E|Polymerase chain reaction for Bacillus anthracis
P3-49B9E|Bacillus anthracis-specific polymerase chain reaction
P3-62417|Bovine diarrhea virus antigen assay
P3-62417|Bovine diarrhoea virus antigen assay
P3-61A4B|Bovine leukaemia virus antibody assay
P3-61A4B|Bovine leukemia virus antibody assay
P3-5904F|Clostridium difficile toxin A AND B assay
P3-62469|Clostridium chauvoei antigen assay
P3-6172E|Rickettsia rickettsiae typhus fever group antibody assay
P3-50033|Enterococcus vancomycin resistant culture
P3-6241D|Bovine papular stomatitis virus antigen assay
P3-62427|Epizootic hemorrhagic disease virus antigen assay
P3-62427|Epizootic haemorrhagic disease virus antigen assay
P2-10950|Telephone call by physician to patient or for consultation
P2-10950|Telephone call by physician to patient or for consultation, NOS
P1-57851|Construction of transverse loop colostomy
P1-57852|Construction of sigmoid loop colostomy
P3-61A6B|Duck enteritis virus antibody assay
P3-50038|Escherichia coli verotoxic culture
P3-62261|HIV 1 p41 antibody assay
P3-62261|Human immunodeficiency virus (HIV) 1 p41 antibody assay
P1-050FA|Injection of frozen shoulder
P3-62115|Epstein Barr virus early antibody, diffuse pattern determination
P1-A204C|Excision of granuloma of eyelid
P0-0594E|Removal of calculus from parotid duct
P0-0594E|Extraction of stone from parotid duct
P1-5A16B|Removal of calculus from submandibular duct
P1-5A16B|Extraction of stone from submandibular duct
P3-59073|Colony count
P3-62428|Equine adenovirus antigen assay
P1-8438E|Laparoscopic salpingectomy
P1-8438F|Open salpingectomy
P2-06031|Downs screening test
P3-600BE|Entamoeba histolytica antibody level
P3-600BE|Entameba histolytica antibody level
P1-51801|Mouth reconstruction
P1-51801|Reconstruction of mouth operation
P3-77145|Plasma streptomycin level
P3-77147|Plasma teicoplanin level
P3-600E4|Pneumococcal IgG 1 level
P3-600E5|Pneumococcal IgG 2 level
P0-056FB|Removal of uterine foreign body
P2-014AD|Examination by method
P1-55801|Stomach closure
P1-5800A|Drainage of intersphincteric abscess
P1-01070|Incision and drainage of perineal abscess
P1-58359|Low anterior resection of rectum
P1-5500A|Under-running of bleeding gastric ulcer
P1-38801|Vein closure
P2-1183D|Education about symptomatic treatment
P2-1183D|Advice about symptomatic treatment
P1-10959|Fixation of fracture using Herbert screw
P1-23505|Bilateral antral washout
P1-23505|BAWO - Bilateral antral washouts
P1-18DFF|Thigh manipulation
P1-21102|Nasopharynx incision
P1-21307|Nasopharynx excision
P1-21306|Nose excision
P1-21306|Excision of nose
P1-26E41|Bronchus manipulation
P1-67014|Laparoscopic total splenectomy
P1-7A373|Excision of sperm granuloma from spermatic cord
P1-28C01|Lung destructive procedure
P1-A3535|Second stage Dacron mesh keratoprosthesis
P1-A3536|First stage Dacron mesh keratoprosthesis
P3-600E7|Pneumocystis carinii immunofluorescence
P3-600E7|Pneumocystis carinii IF
P3-600E8|Poliovirus antibody level
P1-54501|Oesophagus implantation
P1-54501|Esophagus implantation
P1-05527|Uterine pack procedure
P1-83070|Operation on uterosacral ligament
P1-21014|Nasal columella lengthening operation
P1-55802|Stomach reconstruction
P3-00156|Vassar-Culling stain method
P3-00156|Vassar and Culling thioflavine T stain
P3-00156|Vassar-Culling stain
P3-00156|Vassar & Culling thioflavine T stain
P3-33062|Sudan IV stain method
P3-33062|Sudan IV stain
P3-33062|Sudan IVI stain method
P3-00008|Manual laboratory procedure
P1-5A041|Repositioning of salivary duct
P1-5A041|Transposition of salivary duct
P1-5A041|Diversion of salivary duct
P0-053AE|Ligation of salivary duct
P1-5693F|Attention to jejunostomy
P1-40327|Curettage and cauterisation of skin lesion
P1-40327|Curettage and cauterization of skin lesion
P1-40327|C and C - Curette and cautery of skin lesion
P1-40328|Curettage of sinus
P1-40329|Curettage of wound
P1-10803|Reduction of dislocation
P1-10803|Reduction of dislocated joint
P3-6241C|Bovine herpesvirus 5 antigen assay
P3-6241F|Bovine respiratory syncytial virus antigen assay
P0-04146|Contraception care management
P0-04146|Family planning care: case management
P0-04146|Manage contraception care
P0-04146|Family planning case management
PA-6009A|Adolescent care education
PA-6009A|Teach adolescent care
P0-0415A|Adolescent care management
P0-0415A|Manage adolescent care
P0-04167|Infant care management
P0-04167|Manage infant care
P0-00B13|Safety education, guidance, and counselling
P0-00B13|Safety education, guidance, and counseling
P0-00B13|Safety teaching, guidance, and counselling
P0-00B13|Safety teaching, guidance, and counseling
P2-0133F|Evaluation for signs and symptoms of physical health problems
P2-0133F|Signs/symptoms-physical treatments and procedures
P3-50095|Naegleria species culture
P3-50096|Schistosoma species culture
P3-50098|Trichomonas species culture
P3-62450|Rubeola virus antigen assay
P3-61676|Salmonella paratyphi A H antibody assay
P3-61677|Salmonella paratyphi A O antibody assay
P3-54215|Enterovirus identification
P3-50257|Fungus identification
P3-54216|Herpes simplex virus identification
P3-49B2F|Chlamydia trachomatis rRNA assay
P3-49B52|Coccidioides immitis rRNA assay
P3-49B53|Cryptococcus neoformans rRNA assay
P3-6244B|Parainfluenza virus 3 antigen assay
P3-62447|Parainfluenza virus antigen assay
P3-49B6D|Hepatitis B virus rRNA assay
P3-49B6F|Hepatitis C virus RNA assay
P3-60042|Viral antibody assay
P3-10381|Thrombin-antithrombin III complex assay
P3-10591|Kaolin-induced partial thromboplastin time
P1-10809|Reduction of open fracture
PA-6004A|Nausea care education
PA-6004A|Teach nausea care
P0-040FA|Nausea care management
P0-040FA|Manage nausea care
P0-00A2C|Family process analysis assessment
P0-00A2C|Assess family process analysis
P0-A0277|Family process analysis education
P0-A0277|Teach family process analysis
P3-5904C|Verotoxin 1 assay
PA-6009B|Older adult care education
PA-6009B|Teach older adult care
P3-62468|Chlamydia trachomatis antigen assay
P0-00B19|Counselling
P0-00B19|Counseling
P0-00B19|Counselling service
P3-5009A|Trypanosoma species culture
P3-622B5|Vaccinia virus antibody assay
P3-616AE|Vibrio cholera antibody assay
P0-04149|Urinary incontinence care management
P0-04149|Manage urinary incontinence care
P3-10595|APTT - reference
P3-10595|Activated partial thromboplastin time (APTT)- reference
P3-10021|PT 50:50 mix
P3-10021|Prothrombin time with 50:50 mix
P3-61A37|Alcelaphine herpesvirus 1 antibody assay
P3-50191|Chlamydia trachomatis culture
P3-50076|Flavivirus culture
P3-49B8D|Saint Louis encephalitis virus RNA assay
P3-6246F|Francisella tularensis antigen assay
P3-62470|Haemophilus influenzae A antigen assay
P3-62470|Hemophilus influenzae A antigen assay
P3-6164C|Haemophilus influenzae B antibody assay
P3-6164C|Hemophilus influenzae B antibody assay
P1-23343|FESS - Functional endoscopic sinus surgery - posterior ethmoidectomy
P1-7401E|Release of suprapubic sling
P1-66354|Adenoid excision
P1-66354|Adenoidectomy
P1-66354|Ads - Adenoidectomy
P1-66354|As - Adenoidectomy
P1-66354|Excision of adenoid
P1-84502|Fallopian tube implantation
P1-5C505|Gallbladder injection
P1-5C702|Gallbladder endoscopy
P1-5C803|Gallbladder closure
P1-67503|Thymus injection
P1-7A301|Scrotum excision
P1-7A505|Seminal vesicle implantation
P1-7A504|Vas deferens implantation
P1-7A503|Scrotum implantation
P1-83807|Uterus closure
P1-83808|Uterine cervix reconstruction
P1-58C03|Rectum destructive procedure
P1-58C03|Destructive procedure of rectum
P1-5C802|Biliary tract closure
P1-5C807|Biliary tract reconstruction
P1-5C806|Gallbladder reconstruction
P1-5C801|Biliary tract repair
P1-53801|Pharynx closure
P1-82054|Reconstruction of vagina with flap
P1-5CD02|Gallbladder transplantation
P1-5CD01|Biliary tract transplantation
P1-67801|Thymus reconstruction
P1-67C02|Thymus destructive procedure
P1-67C01|Bone marrow destructive procedure
P1-7A807|Seminal vesicle closure
P1-7A809|Scrotum closure
P1-5E501|Pancreas implantation
P8-40013|Adjust orthodontic retainer
P0-A0220|Steering wheelchair training
P5-1100D|Full mouth periapical radiographs
P0-00593|Taking of swab
P1-5588B|Fundoplication
P1-95011|Neuroplasty and transposition of median nerve at carpal tunnel
P1-1023E|Synovectomy of foot AND/OR toe
P3-500DA|Small animal inoculation, with observation and dissection
P1-12502|Injection of costochondral junction
P3-21072|Hemolysin detection, cold, quantitative
P3-21072|Haemolysin detection, cold, quantitative
P3-10910|Plasma clot lysis time
P3-700B0|PO>2< at half saturation measurement
P3-49821|Alpha globulin gene analysis, blood
P1-A4C62|Cycloanemization
P1-A4C62|Cycloanemisation
P1-AB00E|External ear and external auditory canal operations
P2-51010|Medical procedure on small intestine
P2-51010|Medical procedure on small intestine, NOS
P1-91099|Diagnostic procedure on cerebellum
P5-00999|Ultrasound phlebography
P5-00999|Phlebogram
P5-00999|Phlebography
P0-0503C|Procedure on axilla
P0-0503C|Axilla procedure
P0-0503C|Axillary procedure
P0-05282|Procedure on sternum
P0-05283|Procedure on rib
P0-05284|Procedure on sacrum
P1-13E28|Closed reduction of fracture of spinous process of vertebra
P1-77347|Radical amputation of penis
P1-54968|Creation of subcutaneous tunnel with esophageal anastomosis
P1-54968|Creation of subcutaneous tunnel with oesophageal anastomosis
P1-38380|Aneurysmectomy of abdominal vein
