SOURCE 	CLASS	LOINC_CODE	"Rank Order(1 = most frequently ordered)"	CONVENIENCE_NAME	LOINC_LONG_COMMON_NAME	COMPONENT	PROPERTY	TM	SPCMN	SCALE	METHOD	Usually not performed at a referral lab (X)
	ABXBACT	18928-2	265	Gentamicin Susc Islt	Gentamicin [Susceptibility]								
	DRUG/TOX	5671-3	266	Lead Bld-mCnc	Lead [Mass/volume] in Blood								
	COAG	3255-7	267	Fibrinogen PPP-mCnc	Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay								
	COAG	3184-9	268	ACT Time Bld	Activated clotting time in Blood by Coagulation assay								
	CLIN	19139-5	269	Pathologist name	Pathologist name								
	MICRO	6462-6	270	Bacteria Wnd Cult	Bacteria identified in Wound by Culture								
	CHEM	10501-5	271	LH SerPl-aCnc	Lutropin [Units/volume] in Serum or Plasma								
	SPEC	19244-3	272	Character Ur	Character of Urine								
	DRUG/TOX	19659-2	273	PCP Ur Ql Scn	Phencyclidine [Presence] in Urine by Screen method								
	CHEM	3051-0	274	T3Free SerPl-mCnc	Triiodothyronine (T3) Free [Mass/volume] in Serum or Plasma								
	MICRO	624-7	275	Bacteria Spt Resp Cult	Bacteria identified in Sputum by Respiratory culture								
	MICRO	634-6	276	Bacteria XXX Aerobe Cult	Bacteria identified in Unspecified specimen by Aerobe culture								
	MICRO	50387-0	277	C trach rRNA Cervix Ql PCR	Chlamydia trachomatis rRNA [Presence] in Cervix by Probe & target amplification method								
	MICRO	50388-8	278	N gonorrhoea rRNA Cervix Ql PCR	Neisseria gonorrhoeae rRNA [Presence] in Cervix by Probe & target amplification method								
	MICRO	35691-5	279	Other microorganism DNA XXX Ql PCR	XXX microorganism DNA [Presence] in Unspecified specimen by Probe & target amplification method								
	MICRO	51656-7	280	HCV Ab s/co Fld-Rto	Hepatitis C virus Ab Signal/Cutoff [Ratio] in Body fluid								
	HEM/BC	4679-7	281	Retics/100 RBC NFr	Reticulocytes/100 erythrocytes in Blood								
	TUMRRGT	22635-7	282	Path report.microscopic Spec Other Stn	Pathology report microscopic observation Other stain								
	CHEM	38483-4	283	Creat Bld-mCnc	Creatinine [Mass/volume] in Blood								
	HEM/BC	15150-6	284	Anisocytosis Bld Ql Auto	Anisocytosis [Presence] in Blood by Automated count								
	CHEM	14338-8	285	Prealb SerPl-mCnc	Prealbumin [Mass/volume] in Serum or Plasma								
	HEM/BC	15198-5	286	Macrocytes Bld Ql Auto	Macrocytes [Presence] in Blood by Automated count								
	UA	33051-4	287	RBC Ur Ql	Erythrocytes [Presence] in Urine								
	CHEM	6299-2	288	BUN Bld-mCnc	Urea nitrogen [Mass/volume] in Blood								
	CHEM	43396-1	289	NonHDLc SerPl-mCnc	Cholesterol non HDL [Mass/volume] in Serum or Plasma								
	CHEM	2842-3	290	Prolactin SerPl-mCnc	Prolactin [Mass/volume] in Serum or Plasma								
	CHEM	6598-7	291	Troponin T SerPl-mCnc	Troponin T.cardiac [Mass/volume] in Serum or Plasma								
	UA	2888-6	292	Prot Ur-mCnc	Protein [Mass/volume] in Urine								
	DRUG/TOX	3393-6	293	BZE Ur Ql	Benzoylecgonine [Presence] in Urine								
	UA	9842-6	294	Casts #/area UrnS LPF	Casts [#/area] in Urine sediment by Microscopy low power field								
	CHEM	2069-3	295	Chloride Bld-sCnc	Chloride [Moles/volume] in Blood								
	MICRO	5334-8	296	RUBV IgG Ser EIA-aCnc	Rubella virus IgG Ab [Units/volume] in Serum by Immunoassay								
	CHEM	20569-0	297	CK MB CFr SerPl	Creatine kinase.MB/Creatine kinase.total in Serum or Plasma								
	MICRO	42931-6	298	C trach rRNA Ur Ql PCR	Chlamydia trachomatis rRNA [Presence] in Urine by Probe & target amplification method								
	HEM/BC	15199-3	299	Microcytes Bld Ql Auto	Microcytes [Presence] in Blood by Automated count								
	ABXBACT	20629-2	300	Levofloxacin Susc Islt	Levofloxacin [Susceptibility]								
	DRUG/TOX	3397-7	301	Cocaine Ur Ql	Cocaine [Presence] in Urine								
	HEM/BC	779-9	302	Poikilocytosis Bld Ql Smear	Poikilocytosis [Presence] in Blood by Light microscopy								
	CHEM	35591-7	303	Creat Cl predicted SerPl C-G-vRate	Creatinine renal clearance predicted by Cockcroft-Gault formula								
	UA	32356-8	304	Yeast UrnS Ql Micro	Yeast [Presence] in Urine sediment by Light microscopy								
	ABXBACT	18878-9	305	Cefazolin Susc Islt	Cefazolin [Susceptibility]								
	HEM/BC	740-1	306	Metamyelocytes NFr Bld Manual	Metamyelocytes/100 leukocytes in Blood by Manual count								
	CHEM	12851-2	307	Prot Pattern SerPl Elph-Imp	Protein Fractions [interpretation] in Serum or Plasma by Electrophoresis								
	MICRO	31147-2	308	RPR Ser-Titr	Reagin Ab [Titer] in Serum by RPR								
	UA	25428-4	309	Glucose Ur Ql Strip	Glucose [Presence] in Urine by Test strip								
	CHEM	1960-4	310	HCO3 BldA-sCnc	Bicarbonate [Moles/volume] in Arterial blood								
	CHEM	2111-3	311	B-HCG SerPl-sCnc	Choriogonadotropin.beta subunit [Moles/volume] in Serum or Plasma								
	CHEM	2039-6	312	CEA SerPl-mCnc	Carcinoembryonic Ag [Mass/volume] in Serum or Plasma								
	CHEM	2862-1	313	Albumin SerPl Elph-mCnc	Albumin [Mass/volume] in Serum or Plasma by Electrophoresis								
	CHEM	2871-2	314	B-Globulin SerPl Elph-mCnc	Beta globulin [Mass/volume] in Serum or Plasma by Electrophoresis								
	CHEM	2865-4	315	Alpha1 Glob SerPl Elph-mCnc	Alpha 1 globulin [Mass/volume] in Serum or Plasma by Electrophoresis								
	CHEM	2868-8	316	Alpha2 Glob SerPl Elph-mCnc	Alpha 2 globulin [Mass/volume] in Serum or Plasma by Electrophoresis								
	ABXBACT	18906-8	317	Ciprofloxacin Susc Islt	Ciprofloxacin [Susceptibility]								
	CHEM	2839-9	318	Progest SerPl-mCnc	Progesterone [Mass/volume] in Serum or Plasma								
	MICRO	13950-1	319	HAV IgM Ser Ql EIA	Hepatitis A virus IgM Ab [Presence] in Serum by Immunoassay								
	HEM/BC	28541-1	320	Metamyelocytes NFr Bld	Metamyelocytes/100 leukocytes in Blood								
	DRUG/TOX	3936-2	321	PCP Ur Ql	Phencyclidine [Presence] in Urine								
	MICRO	48159-8	322	HCV Ab s/co SerPl EIA-Rto	Hepatitis C virus Ab Signal/Cutoff [Ratio] in Serum or Plasma by Immunoassay								
	CHEM	2874-6	323	Gamma glob SerPl Elph-mCnc	Gamma globulin [Mass/volume] in Serum or Plasma by Electrophoresis								
	MICRO	31201-7	324	HIV1+2 Ab Ser Ql EIA	HIV 1+2 Ab [Presence] in Serum by Immunoassay								
	CHEM	2991-8	325	Testost Free SerPl-mCnc	Testosterone Free [Mass/volume] in Serum or Plasma								
	HEM/BC	58413-6	326	nRBC/100 WBC Bld Auto-Rto	Nucleated erythrocytes/100 leukocytes [Ratio] in Blood by Automated count								
	MICRO	36903-3	327	C trach+GC DNA XXX PCR	Chlamydia trachomatis+Neisseria gonorrhoeae DNA [Identifier] in Unspecified specimen by Probe & target amplification method								
	MICRO	580-1	328	Fungus XXX Cult	Fungus identified in Unspecified specimen by Culture								
	CHEM	2692-2	329	Osmolality SerPl	Osmolality of Serum or Plasma								
	ABXBACT	18865-6	330	Ampicillin+Sulbac Susc Islt	Ampicillin+Sulbactam [Susceptibility]								
	ABXBACT	18864-9	331	Ampicillin Susc Islt	Ampicillin [Susceptibility]								
	CHAL	1558-6	332	Glucose p fast SerPl-mCnc	Fasting glucose [Mass/volume] in Serum or Plasma								
	MICRO	635-3	333	Bacteria XXX Anaerobe Cult	Bacteria identified in Unspecified specimen by Anaerobe culture								
	MICRO	547-0	334	B-Hem Strep XXX Ql Cult	Streptococcus.beta-hemolytic [Presence] in Unspecified specimen by Organism specific culture								
	MICRO	5194-6	335	HBV surface Ab Ser RIA-aCnc	Hepatitis B virus surface Ab [Units/volume] in Serum by Radioimmunoassay (RIA)								
	ABXBACT	18955-5	336	Nitrofurantoin Susc Islt	Nitrofurantoin [Susceptibility]								
	MICRO	18481-2	337	S pyo Ag Throat Ql	Streptococcus pyogenes Ag [Presence] in Throat								
	CHAL	1504-0	338	Glucose 1H p 50 g Glc PO SerPl-mCnc	Glucose [Mass/volume] in Serum or Plasma --1 hour post 50 g glucose PO								
	UA	12235-8	339	Micro UrnS	Microscopic observation [Identifier] in Urine sediment by Light microscopy								
	HEM/BC	7791-7	340	Dacryocytes Bld Ql Smear	Dacrocytes [Presence] in Blood by Light microscopy								
	CHEM	2143-6	341	Cortis SerPl-mCnc	Cortisol [Mass/volume] in Serum or Plasma								
	CHEM	46744-9	342	OA DBS-Imp	Organic acidemias newborn screen interpretation								
	SERO	14611-8	343	ANA Pat Ser-Imp	Nuclear Ab pattern [interpretation] in Serum								
	SERO	8099-4	344	Thyroperoxidase Ab SerPl-aCnc	Thyroperoxidase Ab [Units/volume] in Serum or Plasma								
	SERO	5048-4	345	ANA Titr Ser IF	Nuclear Ab [Titer] in Serum by Immunofluorescence								
	CHEM	2524-7	346	Lactate SerPl-sCnc	Lactate [Moles/volume] in Serum or Plasma								
	HEM/BC	763-3	347	Neuts Band # Bld Manual	Neutrophils.band form [#/volume] in Blood by Manual count								
	CHEM	30522-7	348	CRP SerPl HS-mCnc	C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method								
	HEM/BC	11156-7	349	WBC morph Bld	Leukocyte morphology finding [Identifier] in Blood								
	ABXBACT	19000-9	350	Vancomycin Susc Islt	Vancomycin [Susceptibility]								
	CHEM	2335-8	351	Hemocult Stl Ql	Hemoglobin.gastrointestinal [Presence] in Stool								
	SPEC	6824-7	352	Color Fld	Color of Body fluid								
	MICRO	24113-3	353	HBV core IgM Ser Ql EIA	Hepatitis B virus core IgM Ab [Presence] in Serum by Immunoassay								
	BLDBK	14578-9	354	ABO Group Bld BPU	ABO group [Type] in Blood from Blood product unit								
	BLDBK	14907-0	355	Rh Bld BPU	Rh [Type] in Blood from Blood product unit								
	DRUG/TOX	3968-5	356	Phenytoin SerPl-mCnc	Phenytoin [Mass/volume] in Serum or Plasma								
	DRUG/TOX	10535-3	357	Digoxin SerPl-mCnc	Digoxin [Mass/volume] in Serum or Plasma								
	CHEM	13965-9	358	Homocysteine SerPl-sCnc	Homocysteine [Moles/volume] in Serum or Plasma								
	CHEM	35674-1	359	Creat ?Tm Ur-mCnc	Creatinine [Mass/volume] in unspecified time Urine								
	ABXBACT	18893-8	360	Ceftazidime Susc Islt	Ceftazidime [Susceptibility]								
	ABXBACT	18970-4	361	Piperacillin+Tazobac Susc Islt	Piperacillin+Tazobactam [Susceptibility]								
	CELLMARK	54218-3	362	CD3+CD4+ Cells/CD3+CD8+ Cells Bld	CD3+CD4+ (T4 helper) cells/CD3+CD8+ (T8 suppressor cells) cells [# Ratio] in Blood								
	HEM/BC	800-3	363	Schistocytes Bld Ql Smear	Schistocytes [Presence] in Blood by Light microscopy								
	CHEM	21198-7	364	B-HCG SerPl-aCnc	Choriogonadotropin.beta subunit [Units/volume] in Serum or Plasma								
	DRUG/TOX	5643-2	365	Ethanol SerPl-mCnc	Ethanol [Mass/volume] in Serum or Plasma								
	CHEM	22763-7	366	Ammonia Plas-mCnc	Ammonia [Mass/volume] in Plasma								
	CHEM	16362-6	367	Ammonia Plas-sCnc	Ammonia [Moles/volume] in Plasma								
	DRUG/TOX	3426-4	368	THC Ur Ql	Tetrahydrocannabinol [Presence] in Urine								
	HEM/BC	26487-9	369	Monocytes NFr Fld	Monocytes/100 leukocytes in Body fluid								
	HEM/BC	11031-2	370	Lymphocytes NFr Fld	Lymphocytes/100 leukocytes in Body fluid								
	HEM/BC	749-2	371	Myelocytes NFr Bld Manual	Myelocytes/100 leukocytes in Blood by Manual count								
	ABXBACT	18932-4	372	Imipenem Susc Islt	Imipenem [Susceptibility]								
	ABXBACT	18943-1	373	Meropenem Susc Islt	Meropenem [Susceptibility]								
	CHEM	32673-6	374	CK MB SerPl-cCnc	Creatine kinase.MB [Enzymatic activity/volume] in Serum or Plasma								
	MICRO	22322-2	375	HBV surface Ab Ser Ql	Hepatitis B virus surface Ab [Presence] in Serum								
	HEM/BC	13655-6	376	WBC Stl Ql Micro	Leukocytes [Presence] in Stool by Light microscopy								
	CELLMARK	8123-2	377	CD3+CD4+ Cells NFr Bld	CD3+CD4+ (T4 helper) cells/100 cells in Blood								
	HEM/BC	26498-6	378	Myelocytes NFr Bld	Myelocytes/100 leukocytes in Blood								
	MICRO	19162-7	379	VZV IgG Ser Ql	Varicella zoster virus IgG Ab [Presence] in Serum								
	ABXBACT	18879-7	380	Cefepime Susc Islt	Cefepime [Susceptibility]								
	UA	5783-6	381	Unident Crys UrnS Ql Micro	Unidentified crystals [Presence] in Urine sediment by Light microscopy								
	DRUG/TOX	4092-3	382	Vancomycin Trough SerPl-mCnc	Vancomycin [Mass/volume] in Serum or Plasma --trough								
	CELLMARK	8124-0	383	CD3 Cells NFr Bld	CD3 cells/100 cells in Blood								
	SERO	31017-7	384	tTG IgA Ser-aCnc	Tissue transglutaminase IgA Ab [Units/volume] in Serum								
	CLIN	3150-0	385	Inhaled O2 concentration	Inhaled oxygen concentration								
	CHEM	1834-1	386	AFP SerPl-mCnc	Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma								
	SPEC	3167-4	387	Specimen vol 24H Ur	Volume of 24 hour Urine								
	ABXBACT	18895-3	388	Ceftriaxone Susc Islt	Ceftriaxone [Susceptibility]								
	CHEM	1925-7	389	Base excess BldA-sCnc	Base excess in Arterial blood								
	CHEM	1990-1	390	Vitamin D3 SerPl-mCnc	Cholecalciferol (Vit D3) [Mass/volume] in Serum or Plasma								
	CHEM	2236-8	391	Vitamin D2 SerPl-mCnc	Calciferol (Vit D2) [Mass/volume] in Serum or Plasma								
	CHEM	20448-7	392	Insulin SerPl-aCnc	Insulin [Units/volume] in Serum or Plasma								
	ABXBACT	18993-6	393	Tetracycline Susc Islt	Tetracycline [Susceptibility]								
	HEM/BC	17790-7	394	WBC Left Shift Bld Ql Auto	Leukocytes Left Shift [Presence] in Blood by Automated count								
	MICRO	13955-0	395	HCV Ab Ser Ql EIA	Hepatitis C virus Ab [Presence] in Serum by Immunoassay								
	ABXBACT	18996-9	396	Tobramycin Susc Islt	Tobramycin [Susceptibility]								
	CELLMARK	8101-8	397	CD3+CD8+ Cells NFr Bld	CD3+CD8+ (T8 suppressor cells) cells/100 cells in Blood								
	CHEM	13451-0	398	Creat Cl Dial fld+SerPl-vRate	Creatinine dialysis fluid clearance								
	BLDBK	1305-2	399	D Ag Bld Ql	D Ag [Presence] in Blood								
	SERO	5130-0	400	dsDNA Ab Ser-aCnc	DNA double strand Ab [Units/volume] in Serum								
	CHEM	46737-3	401	Galactosemias DBS-Imp	Galactosemias newborn screen interpretation								
	DRUG/TOX	3298-7	402	Acetamin SerPl-mCnc	Acetaminophen [Mass/volume] in Serum or Plasma								
	CHEM	14895-7	403	Prot Pattern SerPl IFE-Imp	Protein Fractions [interpretation] in Serum or Plasma by Immunofixation								
	ABXBACT	18886-2	404	Cefotaxime Susc Islt	Cefotaxime [Susceptibility]								
	CHEM	46733-2	405	Amino acidemias DBS-Imp	Amino acidemias newborn screen interpretation								
	ABXBACT	35492-8	406	MRSA DNA XXX Ql PCR	Methicillin resistant Staphylococcus aureus (MRSA) DNA [Presence] by Probe & target amplification method								
	CHEM	46736-5	407	FOD DBS-Imp	Fatty acid oxidation defects newborn screen interpretation								
	DRUG/TOX	4086-5	408	Valproate SerPl-mCnc	Valproate [Mass/volume] in Serum or Plasma								
	CHEM	38478-4	409	Biotinidase DBS Ql	Biotinidase [Presence] in Dried blood spot								
	MICRO	34148-7	410	B burgdor IgG+IgM Ser-aCnc	Borrelia burgdorferi IgG+IgM Ab [Units/volume] in Serum								
	ABXBACT	18969-6	411	Piperacillin Susc Islt	Piperacillin [Susceptibility]								
	CHEM	2955-3	412	Sodium Ur-sCnc	Sodium [Moles/volume] in Urine								
	HEM/BC	10381-2	413	Targets Bld Ql Smear	Target cells [Presence] in Blood by Light microscopy								
	ABXBACT	18860-7	414	Amikacin Susc Islt	Amikacin [Susceptibility]								
	HEM/BC	12238-2	415	Neutrophils NFr Fld Manual	Neutrophils/100 leukocytes in Body fluid by Manual count								
	SERO	8098-6	416	Thyroglob Ab SerPl-aCnc	Thyroglobulin Ab [Units/volume] in Serum or Plasma								
	DRUG/TOX	3773-9	417	Methadone Ur Ql	Methadone [Presence] in Urine								
	HEM/BC	26452-3	418	Eosinophil NFr Fld	Eosinophils/100 leukocytes in Body fluid								
	ABXBACT	18961-3	419	Oxacillin Susc Islt	Oxacillin [Susceptibility]								
	MICRO	10352-3	420	Bacteria Genital Aerobe Cult	Bacteria identified in Genital specimen by Aerobe culture								
	DRUG/TOX	4073-3	421	Tricyclics SerPl Ql	Tricyclic antidepressants [Presence] in Serum or Plasma								
	BLDBK	1006-6	422	DAT IgG-Sp Reag RBC-Imp	Direct antiglobulin test.IgG specific reagent [interpretation] on Red Blood Cells								
	HEM/BC	31160-5	423	Polys NFr Bld Manual	Polymorphonuclear cells/100 leukocytes in Blood by Manual count								
	HEM/BC	7790-9	424	Burr Cells Bld Ql Smear	Burr cells [Presence] in Blood by Light microscopy								
	MICRO	543-9	425	Mycobacterium XXX Cult	Mycobacterium sp identified in Unspecified specimen by Organism specific culture								
	HEMODYN.MOLEC	20564-1	426	SaO2% Bld	Oxygen saturation in Blood								
	CELLMARK	8122-4	427	CD3 Cells # Bld	CD3 cells [#/volume] in Blood								
	MOLPATH.MUT	21667-1	428	F5 gene Mut Anal Bld/T	F5 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal								
	MICRO	584-3	429	Gp B Strep Vag Ql Cult	Streptococcus agalactiae [Presence] in Vaginal fluid by Organism specific culture								
	CHEM	10334-1	430	Cancer Ag125 SerPl-aCnc	Cancer Ag 125 [Units/volume] in Serum or Plasma								
	MICRO	34713-8	431	C dif Tox A+B Stl Ql	Clostridium difficile toxin A+B [Presence] in Stool								
	HEM/BC	26510-8	432	Neuts Band NFr Fld	Neutrophils.band form/100 leukocytes in Body fluid								
	UA	8246-1	433	Amorph Sed UrnS Ql Micro	Amorphous sediment [Presence] in Urine sediment by Light microscopy								
	ABXBACT	18919-1	434	Erythromycin Susc Islt	Erythromycin [Susceptibility]								
	HEM/BC	26455-6	435	RBC # Fld	Erythrocytes [#/volume] in Body fluid								
	HEM/BC	4485-9	436	C3 SerPl-mCnc	Complement C3 [Mass/volume] in Serum or Plasma								
	HEM/BC	4498-2	437	C4 SerPl-mCnc	Complement C4 [Mass/volume] in Serum or Plasma								
	HEM/BC	57845-0	438	WBC # Fld Auto	Leukocytes [#/volume] in Body fluid by Automated count								
	MICRO	5176-3	439	H pylori IgG Ser EIA-aCnc	Helicobacter pylori IgG Ab [Units/volume] in Serum by Immunoassay								
	MICRO	16128-1	440	HCV Ab Ser Ql	Hepatitis C virus Ab [Presence] in Serum								
	CELLMARK	14135-8	441	CD3+CD8+ Cells # Bld	CD3+CD8+ (T8 suppressor cells) cells [#/volume] in Blood								
	MICRO	7918-6	442	HIV1+2 Ab Ser Ql	HIV 1+2 Ab [Presence] in Serum								
	DRUG/TOX	19312-8	443	Tricyclics Ur Ql Scn	Tricyclic antidepressants [Presence] in Urine by Screen method								
	ABXBACT	18908-4	444	Clindamycin Susc Islt	Clindamycin [Susceptibility]								
	CHEM	2162-6	445	Creat 24H Ur-mRate	Creatinine [Mass/time] in 24 hour Urine								
	HEM/BC	13518-6	446	Variant Lymphs NFr Fld Manual	Lymphocytes Variant/100 leukocytes in Body fluid by Manual count								
	HEM/BC	12179-8	447	Basophils NFr Fld Manual	Basophils/100 leukocytes in Body fluid by Manual count								
	HEM/BC	6864-3	448	Hgb S Bld Ql Soly	Hemoglobin S [Presence] in Blood by Solubility test								
	CHEM	49563-0	449	Troponin I SerPl DL=0.01 ng/mL-mCnc	Troponin I.cardiac [Mass/volume] in Serum or Plasma by Detection limit = 0.01 ng/mL								
	HEM/BC	33255-1	450	Cell Fract Bld-Imp	Cell Fractions/Differential [interpretation] in Blood								
	CHEM	2708-6	451	SaO2% BldA	Oxygen saturation in Arterial blood								
	MICRO	5209-2	452	HSV2 IgG Ser EIA-aCnc	Herpes simplex virus 2 IgG Ab [Units/volume] in Serum by Immunoassay								
	ABXBACT	18964-7	453	Penicillin Susc Islt	Penicillin [Susceptibility]								
	ABXBACT	18868-0	454	Aztreonam Susc Islt	Aztreonam [Susceptibility]								
	CHEM	1863-0	455	Anion Gap4 SerPl-sCnc	Anion gap 4 in Serum or Plasma								
	CHEM	29574-1	456	TSH DBS Ql	Thyrotropin [Presence] in Dried blood spot								
	PULM	19994-3	457	O2/Inspired gas setting VFr Vent	Oxygen/Inspired gas setting [Volume Fraction] Ventilator								
	CHEM	32854-2	458	17OHP DBS Ql	17-Hydroxyprogesterone [Presence] in Dried blood spot								
	CHEM	29571-7	459	Phe DBS Ql	Phenylalanine [Presence] in Dried blood spot								
	MOLPATH.MUT	21654-9	460	CFTR Mut Anal Bld/T	CFTR gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal								
	CHEM	38486-7	461	Homocystine DBS Ql	Homocystine [Presence] in Dried blood spot								
	CHEM	38479-2	462	BCKAD DBS Ql	Branched chain keto-acid dehydrogenase complex [Presence] in Dried blood spot								
	CHEM	46779-5	463	M/SCHADD DBS-Imp	Medium/Short chain acyl-CoA dehydrogenase deficiency newborn screen interpretation								
	DRUG/TOX	4024-6	464	Salicylates SerPl-mCnc	Salicylates [Mass/volume] in Serum or Plasma								
	CHEM	2095-8	465	HDLc SerPl-mRto	Cholesterol in HDL/Cholesterol.total [Mass ratio] in Serum or Plasma								
